roll,semester,amount_due,amount_paid,due_date,paid_date
BSAI-24-016,Fall2024,50000,50000,15-01-2024,12-01-2024
BSAI-24-016,Spring2024,55000,55000,15-07-2024,12-07-2024
BSAI-24-017,Fall2024,50000,50000,15-01-2024,08-01-2024
BSAI-24-017,Spring2024,55000,30000,15-07-2024,15-07-2024
BSAI-24-018,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-018,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-019,Fall2024,50000,50000,15-01-2024,11-01-2024
BSAI-24-019,Spring2024,55000,55000,15-07-2024,11-07-2024
BSAI-24-020,Fall2024,50000,50000,15-01-2024,09-01-2024
BSAI-24-020,Spring2024,55000,20000,15-07-2024,14-07-2024
BSAI-24-021,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-021,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-022,Fall2024,50000,50000,15-01-2024,13-01-2024
BSAI-24-022,Spring2024,55000,55000,15-07-2024,13-07-2024
BSAI-24-023,Fall2024,50000,25000,15-01-2024,14-01-2024
BSAI-24-023,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-024,Fall2024,50000,50000,15-01-2024,07-01-2024
BSAI-24-024,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-025,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-025,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-026,Fall2024,50000,50000,15-01-2024,10-01-2024
BSAI-24-026,Spring2024,55000,55000,15-07-2024,09-07-2024
BSAI-24-027,Fall2024,50000,50000,15-01-2024,12-01-2024
BSAI-24-027,Spring2024,55000,30000,15-07-2024,15-07-2024
BSAI-24-028,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-028,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-029,Fall2024,50000,50000,15-01-2024,11-01-2024
BSAI-24-029,Spring2024,55000,55000,15-07-2024,08-07-2024
BSAI-24-030,Fall2024,50000,50000,15-01-2024,08-01-2024
BSAI-24-030,Spring2024,55000,20000,15-07-2024,14-07-2024
BSAI-24-031,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-031,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-032,Fall2024,50000,50000,15-01-2024,13-01-2024
BSAI-24-032,Spring2024,55000,55000,15-07-2024,12-07-2024
BSAI-24-033,Fall2024,50000,25000,15-01-2024,14-01-2024
BSAI-24-033,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-034,Fall2024,50000,50000,15-01-2024,09-01-2024
BSAI-24-034,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-035,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-035,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-036,Fall2024,50000,50000,15-01-2024,10-01-2024
BSAI-24-036,Spring2024,55000,55000,15-07-2024,11-07-2024
BSAI-24-037,Fall2024,50000,50000,15-01-2024,12-01-2024
BSAI-24-037,Spring2024,55000,30000,15-07-2024,15-07-2024
BSAI-24-038,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-038,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-039,Fall2024,50000,50000,15-01-2024,07-01-2024
BSAI-24-039,Spring2024,55000,55000,15-07-2024,08-07-2024
BSAI-24-040,Fall2024,50000,50000,15-01-2024,11-01-2024
BSAI-24-040,Spring2024,55000,20000,15-07-2024,14-07-2024
BSAI-24-041,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-041,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-042,Fall2024,50000,50000,15-01-2024,13-01-2024
BSAI-24-042,Spring2024,55000,55000,15-07-2024,13-07-2024
BSAI-24-043,Fall2024,50000,25000,15-01-2024,14-01-2024
BSAI-24-043,Spring2024,55000,55000,15-07-2024,09-07-2024
BSAI-24-044,Fall2024,50000,50000,15-01-2024,08-01-2024
BSAI-24-044,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-045,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-045,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-046,Fall2024,50000,50000,15-01-2024,10-01-2024
BSAI-24-046,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-047,Fall2024,50000,50000,15-01-2024,12-01-2024
BSAI-24-047,Spring2024,55000,30000,15-07-2024,15-07-2024
BSAI-24-048,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-048,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-049,Fall2024,50000,50000,15-01-2024,09-01-2024
BSAI-24-049,Spring2024,55000,55000,15-07-2024,11-07-2024
BSAI-24-050,Fall2024,50000,50000,15-01-2024,11-01-2024
BSAI-24-050,Spring2024,55000,20000,15-07-2024,14-07-2024
BSAI-24-051,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-051,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-052,Fall2024,50000,50000,15-01-2024,13-01-2024
BSAI-24-052,Spring2024,55000,55000,15-07-2024,12-07-2024
BSAI-24-053,Fall2024,50000,25000,15-01-2024,14-01-2024
BSAI-24-053,Spring2024,55000,55000,15-07-2024,08-07-2024
BSAI-24-054,Fall2024,50000,50000,15-01-2024,07-01-2024
BSAI-24-054,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-055,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-055,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-056,Fall2024,50000,50000,15-01-2024,10-01-2024
BSAI-24-056,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-057,Fall2024,50000,50000,15-01-2024,12-01-2024
BSAI-24-057,Spring2024,55000,30000,15-07-2024,15-07-2024
BSAI-24-058,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-058,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-059,Fall2024,50000,50000,15-01-2024,11-01-2024
BSAI-24-059,Spring2024,55000,55000,15-07-2024,09-07-2024
BSAI-24-060,Fall2024,50000,50000,15-01-2024,08-01-2024
BSAI-24-060,Spring2024,55000,20000,15-07-2024,14-07-2024
BSAI-24-061,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-061,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-062,Fall2024,50000,50000,15-01-2024,13-01-2024
BSAI-24-062,Spring2024,55000,55000,15-07-2024,13-07-2024
BSAI-24-063,Fall2024,50000,25000,15-01-2024,14-01-2024
BSAI-24-063,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-064,Fall2024,50000,50000,15-01-2024,09-01-2024
BSAI-24-064,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-065,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-065,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-066,Fall2024,50000,50000,15-01-2024,10-01-2024
BSAI-24-066,Spring2024,55000,55000,15-07-2024,11-07-2024
BSAI-24-067,Fall2024,50000,50000,15-01-2024,12-01-2024
BSAI-24-067,Spring2024,55000,30000,15-07-2024,15-07-2024
BSAI-24-068,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-068,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-069,Fall2024,50000,50000,15-01-2024,07-01-2024
BSAI-24-069,Spring2024,55000,55000,15-07-2024,08-07-2024
BSAI-24-070,Fall2024,50000,50000,15-01-2024,11-01-2024
BSAI-24-070,Spring2024,55000,20000,15-07-2024,14-07-2024
BSAI-24-071,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-071,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-072,Fall2024,50000,50000,15-01-2024,13-01-2024
BSAI-24-072,Spring2024,55000,55000,15-07-2024,12-07-2024
BSAI-24-073,Fall2024,50000,25000,15-01-2024,14-01-2024
BSAI-24-073,Spring2024,55000,55000,15-07-2024,09-07-2024
BSAI-24-074,Fall2024,50000,50000,15-01-2024,08-01-2024
BSAI-24-074,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-075,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-075,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-076,Fall2024,50000,50000,15-01-2024,10-01-2024
BSAI-24-076,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-077,Fall2024,50000,50000,15-01-2024,12-01-2024
BSAI-24-077,Spring2024,55000,30000,15-07-2024,15-07-2024
BSAI-24-078,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-078,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-079,Fall2024,50000,50000,15-01-2024,11-01-2024
BSAI-24-079,Spring2024,55000,55000,15-07-2024,11-07-2024
BSAI-24-080,Fall2024,50000,50000,15-01-2024,09-01-2024
BSAI-24-080,Spring2024,55000,20000,15-07-2024,14-07-2024
BSAI-24-081,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-081,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-082,Fall2024,50000,50000,15-01-2024,13-01-2024
BSAI-24-082,Spring2024,55000,55000,15-07-2024,13-07-2024
BSAI-24-083,Fall2024,50000,25000,15-01-2024,14-01-2024
BSAI-24-083,Spring2024,55000,55000,15-07-2024,08-07-2024
BSAI-24-084,Fall2024,50000,50000,15-01-2024,07-01-2024
BSAI-24-084,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-085,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-085,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-086,Fall2024,50000,50000,15-01-2024,10-01-2024
BSAI-24-086,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-087,Fall2024,50000,50000,15-01-2024,12-01-2024
BSAI-24-087,Spring2024,55000,30000,15-07-2024,15-07-2024
BSAI-24-088,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-088,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-089,Fall2024,50000,50000,15-01-2024,09-01-2024
BSAI-24-089,Spring2024,55000,55000,15-07-2024,11-07-2024
BSAI-24-090,Fall2024,50000,50000,15-01-2024,11-01-2024
BSAI-24-090,Spring2024,55000,20000,15-07-2024,14-07-2024
BSAI-24-091,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-091,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-092,Fall2024,50000,50000,15-01-2024,13-01-2024
BSAI-24-092,Spring2024,55000,55000,15-07-2024,12-07-2024
BSAI-24-093,Fall2024,50000,25000,15-01-2024,14-01-2024
BSAI-24-093,Spring2024,55000,55000,15-07-2024,09-07-2024
BSAI-24-094,Fall2024,50000,50000,15-01-2024,08-01-2024
BSAI-24-094,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-095,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-095,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-096,Fall2024,50000,50000,15-01-2024,10-01-2024
BSAI-24-096,Spring2024,55000,55000,15-07-2024,10-07-2024
BSAI-24-097,Fall2024,50000,50000,15-01-2024,12-01-2024
BSAI-24-097,Spring2024,55000,30000,15-07-2024,15-07-2024
BSAI-24-098,Fall2024,50000,0,15-01-2024,N/A
BSAI-24-098,Spring2024,55000,0,15-07-2024,N/A
BSAI-24-099,Fall2024,50000,50000,15-01-2024,11-01-2024
BSAI-24-099,Spring2024,55000,55000,15-07-2024,08-07-2024
BSAI-24-100,Fall2024,50000,50000,15-01-2024,09-01-2024
BSAI-24-100,Spring2024,55000,20000,15-07-2024,14-07-2024
