roll,course_code,semester,status
BSAI-24-096,CS201,Fall2024,enrolled
BSAI-24-096,MATH101,Fall2024,enrolled
BSAI-24-097,SE101,Fall2024,enrolled
BSAI-24-097,SE102,Fall2024,enrolled
BSAI-24-097,CS102,Fall2024,enrolled
BSAI-24-098,CS101,Fall2024,enrolled
BSAI-24-098,CS103,Fall2024,enrolled
BSAI-24-098,PHY101,Fall2024,enrolled
BSAI-24-099,EE101,Fall2024,enrolled
BSAI-24-099,EE102,Fall2024,enrolled
BSAI-24-099,MATH102,Fall2024,enrolled
BSAI-24-100,CS102,Fall2024,enrolled
BSAI-24-100,CS301,Fall2024,enrolled
BSAI-24-100,CS202,Fall2024,enrolled
